INSTNM,STABBR,CONTROL,PREDDEG,COSTT4_A,NPT4_PUB,NPT4_PRIV,MD_EARN_WNE_P10,GRAD_DEBT_MDN,C150_4,UGDS
Empire Beauty School-Michigan,MI,3,1,,,16486.0,22377.0,10667,,285.0
Cleary University,MI,2,3,39110.0,,21019.0,54186.0,19500,0.3939,774.0
Concordia University Ann Arbor,MI,2,3,50378.0,,26409.0,56075.0,25750,0.5,918.0
Cranbrook Academy of Art,MI,2,4,,,,,PS,,
College for Creative Studies,MI,2,3,61238.0,,33342.0,44860.0,26000,0.6962,1285.0
Davenport University,MI,2,3,35864.0,,19988.0,45099.0,26000,0.4952,3213.0
David Pressley School of Cosmetology,MI,3,1,,,18565.0,22973.0,6333,,263.0
Delta College,MI,1,2,11953.0,4550.0,,37781.0,10978,,6061.0
Detroit Business Institute-Downriver,MI,3,1,,,21533.0,26702.0,PS,,141.0
Universal Technical Institute-Canton,MI,3,1,26607.0,,21202.0,62575.0,12801,,1645.0
University of Detroit Mercy,MI,2,3,40069.0,,16179.0,71030.0,23250,0.681,2289.0
Dorsey College,MI,3,1,30059.0,,22079.0,29392.0,13000,,547.0
Eastern Michigan University,MI,1,3,28168.0,17084.0,,51793.0,25000,0.4549,10751.0
Creative Hair School of Cosmetology,MI,3,1,,,13356.0,,15406,,48.0
Ferris State University,MI,1,3,26066.0,12202.0,,54735.0,21000,0.4787,8087.0
Glen Oaks Community College,MI,1,2,14645.0,7930.0,,37540.0,10794,,577.0
Kettering University,MI,2,3,58610.0,,33092.0,94823.0,27000,0.7054,1279.0
Gogebic Community College,MI,1,2,13398.0,5216.0,,40950.0,10925,,508.0
Grace Christian University,MI,2,3,24637.0,,13996.0,41663.0,24375,0.4286,707.0
Cornerstone University,MI,2,3,40737.0,,22384.0,47314.0,25000,0.6157,1387.0
Grand Rapids Community College,MI,1,2,16255.0,11153.0,,38377.0,9000,,10530.0
Grand Valley State University,MI,1,3,26578.0,17096.0,,56118.0,24500,0.6865,19073.0
Great Lakes Christian College,MI,2,3,29664.0,,18700.0,31053.0,18779,0.2593,130.0
Henry Ford College,MI,1,1,9983.0,576.0,,34795.0,14250,0.1063,8695.0
Hillsdale College,MI,2,3,,,,,,0.8482,1563.0
Hope College,MI,2,3,52206.0,,25749.0,58427.0,26800,0.8226,3274.0
Jackson College,MI,1,2,15892.0,7657.0,,36898.0,13875,0.1738,3563.0
Kalamazoo College,MI,2,3,71173.0,,18873.0,65590.0,26077,0.817,1175.0
Kalamazoo Valley Community College,MI,1,2,9517.0,2991.0,,38618.0,9699,,4885.0
Kellogg Community College,MI,1,2,11939.0,4867.0,,38329.0,17000,,2781.0
Kirtland Community College,MI,1,2,15802.0,9615.0,,35831.0,13067,,965.0
Michigan College of Beauty-Monroe,MI,3,1,,,12605.0,22766.0,6333,,100.0
Lake Michigan College,MI,1,2,17782.0,11209.0,,34466.0,9000,,1811.0
Lake Superior State University,MI,1,3,25757.0,14368.0,,49045.0,23250,0.5694,1391.0
Lansing Community College,MI,1,2,10180.0,4003.0,,39206.0,12700,,7756.0
Lawrence Technological University,MI,2,3,54266.0,,33995.0,69151.0,27000,0.6257,1701.0
M J Murphy Beauty College of Mount Pleasant,MI,3,1,,,13516.0,20720.0,PS,,35.0
Macomb Community College,MI,1,2,10719.0,5725.0,,41596.0,6000,,14285.0
Madonna University,MI,2,3,38809.0,,17815.0,59058.0,23000,0.5815,1637.0
Rochester University,MI,2,3,36215.0,,19245.0,48707.0,24475,0.414,827.0
University of Michigan-Ann Arbor,MI,1,3,33345.0,14832.0,,83648.0,19500,0.9322,33488.0
The Michigan Barber School,MI,2,1,,,6693.0,25106.0,PS,,82.0
Michigan State University,MI,1,3,30528.0,20751.0,,67253.0,23250,0.8217,40243.0
Michigan Technological University,MI,1,3,32550.0,15729.0,,78198.0,24990,0.6872,5829.0
University of Michigan-Dearborn,MI,1,3,22435.0,10904.0,,59649.0,22500,0.5655,5882.0
University of Michigan-Flint,MI,1,3,23329.0,12280.0,,53230.0,25000,0.4456,4157.0
Mid Michigan College,MI,1,2,14816.0,10100.0,,37319.0,13750,,2002.0
Monroe County Community College,MI,1,2,9894.0,5261.0,,41646.0,12296,,1484.0
Montcalm Community College,MI,1,2,10978.0,4352.0,,35499.0,16500,,1040.0
Muskegon Community College,MI,1,2,11303.0,5196.0,,36549.0,9125,,2781.0
North Central Michigan College,MI,1,2,13378.0,5457.0,,36594.0,14000,,897.0
Northern Michigan University,MI,1,3,26206.0,17485.0,,47107.0,21474,0.5084,6425.0
Northwestern Michigan College,MI,1,2,11821.0,5243.0,,38167.0,12500,0.2489,2668.0
Northwood University,MI,2,3,47114.0,,26429.0,63075.0,20842,0.6107,1900.0
Oakland Community College,MI,1,2,11487.0,4568.0,,37395.0,9105,,11772.0
Oakland University,MI,1,3,25016.0,13584.0,,58612.0,22750,0.5694,12450.0
The University of Olivet,MI,2,3,45849.0,,21158.0,47907.0,27000,0.3704,918.0
Port Huron Cosmetology College,MI,3,1,,,10398.0,22980.0,PS,,52.0
Kuyper College,MI,2,3,37282.0,,28458.0,41066.0,21389,0.5357,119.0
Ross Medical Education Center-Lansing,MI,3,1,,,22537.0,30072.0,9500,,96.0
Ross Medical Education Center-Warren,MI,3,1,,,21312.0,30481.0,9500,,153.0
Ross Medical Education Center-Flint,MI,3,1,,,20912.0,30060.0,9500,,87.0
Sacred Heart Major Seminary,MI,2,1,39466.0,,10371.0,49295.0,PS,0.6667,176.0
Saginaw Valley State University,MI,1,3,24043.0,14582.0,,51955.0,25000,0.5382,6004.0
Schoolcraft Community College District,MI,1,2,11921.0,5372.0,,42722.0,10500,0.153,6626.0
Siena Heights University,MI,2,3,42802.0,,17185.0,57529.0,18750,0.5111,1533.0
St Clair County Community College,MI,1,2,12153.0,8145.0,,40177.0,11750,,1955.0
Southwestern Michigan College,MI,1,2,14999.0,6463.0,,37303.0,10959,,1396.0
Spring Arbor University,MI,2,3,43178.0,,20899.0,51732.0,26375,0.5985,990.0
Michigan Career and Technical Institute,MI,1,1,16152.0,11029.0,,29376.0,PS,,118.0
Thomas M Cooley Law School,MI,2,4,,,,63450.0,PS,,
Twin City Beauty College,MI,3,1,,,21829.0,23043.0,9320,,269.0
Walsh College,MI,2,3,,,,72081.0,16217,,535.0
Washtenaw Community College,MI,1,1,11161.0,3561.0,,39449.0,13310,,7736.0
Wayne County Community College District,MI,1,2,12642.0,5762.0,,29079.0,12062,,7848.0
Wayne State University,MI,1,3,26794.0,14773.0,,53493.0,21250,0.5651,15676.0
West Shore Community College,MI,1,2,9674.0,1335.0,,36115.0,9089,,651.0
Paul Mitchell the School-Grand Rapids,MI,3,1,,,14465.0,,9833,,84.0
Western Michigan University,MI,1,3,28655.0,18701.0,,53562.0,26188,0.5777,12704.0
Western Theological Seminary,MI,2,4,,,,,PS,,
Academy College,MN,3,3,34240.0,,31307.0,48300.0,29500,1.0,112.0
Alexandria Technical & Community College,MN,1,2,18962.0,14150.0,,49393.0,12000,,1438.0
Anoka Technical College,MN,1,1,16662.0,12261.0,,47746.0,11000,,1522.0
Anoka-Ramsey Community College,MN,1,2,16110.0,11471.0,,48342.0,13500,,3983.0
Augsburg University,MN,2,3,57966.0,,23875.0,58829.0,25347,0.5244,2429.0
Riverland Community College,MN,1,2,14611.0,8463.0,,45247.0,12000,,1895.0
Northwest Technical College,MN,1,2,18271.0,12941.0,,42930.0,15000,,654.0
Bemidji State University,MN,1,3,23066.0,17050.0,,53755.0,19750,0.534,3120.0
Bethany Lutheran College,MN,2,3,39624.0,,17680.0,46110.0,23000,0.5956,682.0
Bethel University,MN,2,3,56310.0,,28439.0,63764.0,21500,0.7522,2012.0
Central Lakes College-Brainerd,MN,1,2,18003.0,12829.0,,42162.0,11000,,1486.0
Carleton College,MN,2,3,81350.0,,27320.0,75525.0,16750,0.9119,2019.0
Concordia College at Moorhead,MN,2,3,43074.0,,25651.0,59317.0,26847,0.7183,1721.0
Concordia University-Saint Paul,MN,2,3,34495.0,,17566.0,59871.0,17832,0.5878,2786.0
Dakota County Technical College,MN,1,2,15792.0,11140.0,,51938.0,11000,,2083.0
Martin Luther College,MN,2,3,29288.0,,20483.0,47491.0,20177,0.7143,718.0
Lake Superior College,MN,1,2,20049.0,16050.0,,46449.0,12775,,2456.0
Minnesota State Community and Technical College,MN,1,2,15570.0,11274.0,,45591.0,12000,,2875.0
Minnesota West Community and Technical College,MN,1,1,17205.0,11898.0,,45285.0,10987,,1700.0
Gustavus Adolphus College,MN,2,3,65976.0,,26895.0,65607.0,26774,0.7585,1930.0
Hamline University,MN,2,3,56738.0,,21385.0,61106.0,23770,0.5771,1685.0
Hazelden Betty Ford Graduate School,MN,2,4,,,,,PS,,
Hennepin Technical College,MN,1,1,15830.0,10925.0,,49460.0,11433,,2827.0
Minnesota North College,MN,1,2,16231.0,10636.0,,45570.0,12000,,1942.0
Aveda Arts & Sciences Institute Minneapolis,MN,3,1,,,20690.0,34659.0,6333,,608.0
Inver Hills Community College,MN,1,2,15612.0,10651.0,,49898.0,13965,,2203.0
Luther Seminary,MN,2,4,,,,,PS,,
Macalester College,MN,2,3,78900.0,,29980.0,63878.0,23000,0.9041,2131.0
South Central College,MN,1,2,15400.0,10314.0,,45068.0,12000,,1890.0
Minnesota State University-Mankato,MN,1,3,22565.0,18609.0,,56922.0,21106,0.5411,11325.0
Mayo Clinic College of Medicine and Science,MN,2,1,,,,79652.0,10500,,296.0
Metropolitan State University,MN,1,3,26057.0,19181.0,,64705.0,17100,0.3837,4998.0
University of Minnesota-Twin Cities,MN,1,3,29013.0,17139.0,,69020.0,19500,0.8482,30469.0
University of Minnesota-Crookston,MN,1,3,25290.0,10874.0,,58056.0,20500,0.4973,1650.0
Minneapolis College of Art and Design,MN,2,3,54606.0,,25935.0,40873.0,27000,0.6917,701.0
Minneapolis Community and Technical College,MN,1,2,18826.0,13235.0,,40086.0,17954,,4816.0
Herzing University-Minneapolis,MN,2,3,23747.0,,15205.0,36909.0,21500,0.7353,747.0
Nova Academy of Cosmetology Woodbury,MN,3,1,,,19898.0,31961.0,6333,,56.0
University of Minnesota-Duluth,MN,1,3,26907.0,18464.0,,62616.0,22024,0.6445,7475.0
University of Minnesota-Morris,MN,1,3,25816.0,9110.0,,50919.0,18995,0.6193,980.0
Model College of Hair Design,MN,3,1,,,17740.0,25410.0,7139,,108.0
Minnesota State University Moorhead,MN,1,3,24419.0,17816.0,,50527.0,20000,0.5464,3120.0
North Hennepin Community College,MN,1,2,14293.0,9804.0,,51142.0,14750,,3299.0
Normandale Community College,MN,1,2,17594.0,12370.0,,50207.0,12000,,6040.0
North Central University,MN,2,3,42215.0,,23574.0,45064.0,23200,0.6359,802.0
Northland Community and Technical College,MN,1,2,17893.0,13168.0,,44425.0,12000,,1382.0
University of Northwestern-St Paul,MN,2,3,48246.0,,25140.0,50755.0,21325,0.6837,1495.0
Northwestern Health Sciences University,MN,2,2,36501.0,,29794.0,48666.0,7500,1.0,251.0
Oak Hills Christian College,MN,2,2,31810.0,,24674.0,35983.0,20980,0.3077,98.0
Pine Technical & Community College,MN,1,1,15534.0,10281.0,,41232.0,14392,,569.0
Rochester Community and Technical College,MN,1,2,17814.0,13148.0,,45287.0,14743,,3122.0
College of Saint Benedict,MN,2,3,66878.0,,28065.0,63260.0,26944,0.8304,1392.0
St Cloud Technical and Community College,MN,1,2,15374.0,10956.0,,46874.0,12000,,2808.0
Saint Cloud State University,MN,1,3,21389.0,14485.0,,55813.0,21058,0.4691,5181.0
Saint Johns University,MN,2,3,66863.0,,27018.0,76786.0,27000,0.757,1468.0
Saint Mary's University of Minnesota,MN,2,3,54870.0,,21034.0,58170.0,21500,0.6767,1061.0
St Olaf College,MN,2,3,69200.0,,22752.0,65543.0,26000,0.835,3049.0
Crown College,MN,2,3,44961.0,,27324.0,48057.0,22500,0.6434,789.0
The College of Saint Scholastica,MN,2,3,53069.0,,23949.0,65934.0,20000,0.6299,1725.0
University of St Thomas,MN,2,3,64684.0,,30525.0,73739.0,23250,0.7517,6014.0
Empire Beauty School-Bloomington,MN,3,1,,,17164.0,23589.0,10231,,157.0
St Catherine University,MN,2,3,58432.0,,21563.0,59282.0,24181,0.6513,2393.0
Rasmussen University-Minnesota,MN,3,2,24056.0,,19071.0,39080.0,20899,0.5322,8033.0
Saint Paul College,MN,1,1,17977.0,12040.0,,38399.0,10925,,3607.0
Southwest Minnesota State University,MN,1,3,22399.0,14760.0,,51342.0,20500,0.4407,2045.0
Summit Academy Opportunities Industrialization Center,MN,2,1,,,17952.0,22606.0,PS,,270.0
United Theological Seminary of the Twin Cities,MN,2,4,,,,,,,
Dunwoody College of Technology,MN,2,2,34834.0,,27023.0,61511.0,16000,0.627,1417.0
Ridgewater College,MN,1,2,16195.0,10955.0,,43827.0,12000,,2048.0
Minnesota State College Southeast,MN,1,1,20158.0,15548.0,,43613.0,12971,,1198.0
Winona State University,MN,1,3,23373.0,18148.0,,58532.0,21500,0.6089,5088.0
Mitchell Hamline School of Law,MN,2,4,,,,,PS,,
Century College,MN,1,2,15084.0,10037.0,,46424.0,14250,,5971.0
Alcorn State University,MS,1,3,23937.0,14040.0,,36421.0,27000,0.4615,2290.0
Belhaven University,MS,2,3,38359.0,,22078.0,46440.0,26333,0.5113,1370.0
Blue Mountain Christian University,MS,2,3,32140.0,,18062.0,40421.0,18534,0.512,536.0
Chris Beauty College,MS,3,1,,,17940.0,18468.0,PS,,105.0
Coahoma Community College,MS,1,1,9071.0,560.0,,24289.0,PS,,1314.0
Copiah-Lincoln Community College,MS,1,2,11844.0,3472.0,,31241.0,7435,,1948.0
Delta State University,MS,1,3,22008.0,13778.0,,41991.0,20390,0.4686,1613.0
East Central Community College,MS,1,2,12692.0,5770.0,,32421.0,5500,,1584.0
East Mississippi Community College,MS,1,2,10806.0,3880.0,,33772.0,9006,,2914.0
Fosters Cosmetology College,MS,3,1,,,18199.0,,PS,,22.0
Academy of Hair Design-Grenada,MS,3,1,,,20493.0,22284.0,6786,,33.0
Hinds Community College,MS,1,2,9817.0,3158.0,,30774.0,9371,,6533.0
Holmes Community College,MS,1,2,12733.0,5980.0,,32922.0,9274,,3847.0
Itawamba Community College,MS,1,2,11557.0,5034.0,,32912.0,7631,,4018.0
Jackson State University,MS,1,3,28611.0,20191.0,,39060.0,30470,0.3219,4769.0
Jones County Junior College,MS,1,2,14975.0,7945.0,,33377.0,6291,,3248.0
Meridian Community College,MS,1,2,13402.0,6811.0,,31002.0,5521,,2025.0
Millsaps College,MS,2,3,61025.0,,25291.0,53848.0,27000,0.5546,580.0
Mississippi Delta Community College,MS,1,2,9270.0,2276.0,,28421.0,PS,,1490.0
University of Mississippi,MS,1,3,27692.0,13164.0,,50994.0,20000,0.6849,18995.0
Mississippi University for Women,MS,1,3,21808.0,13198.0,,46128.0,15000,0.3779,1593.0
Mississippi Valley State University,MS,1,3,21606.0,11812.0,,31919.0,28413,0.2214,1326.0
Mississippi College,MS,2,3,39167.0,,20911.0,47485.0,22500,0.6281,2423.0
Hatfield's Mississippi College of Beauty Culture,MS,3,1,,,33969.0,13849.0,6500,,51.0
Mississippi Gulf Coast Community College,MS,1,2,12908.0,7372.0,,33017.0,10000,,6231.0
Mississippi State University,MS,1,3,26922.0,15501.0,,51513.0,22142,0.6291,18092.0
Northeast Mississippi Community College,MS,1,2,14779.0,9307.0,,34081.0,9722,,2640.0
Northwest Mississippi Community College,MS,1,2,13156.0,7665.0,,36396.0,6500,,5181.0
Pearl River Community College,MS,1,2,11607.0,4881.0,,33019.0,9750,,4725.0
Rust College,MS,2,3,18448.0,,8751.0,32275.0,26159,0.2695,428.0
Southeastern Baptist College,MS,2,2,10775.0,,5603.0,26946.0,PS,1.0,65.0
Southwest Mississippi Community College,MS,1,2,10933.0,3057.0,,33227.0,PS,,1497.0
University of Southern Mississippi,MS,1,3,25482.0,14224.0,,44140.0,22500,0.5058,9899.0
Tougaloo College,MS,2,3,22570.0,,15663.0,34724.0,30046,0.3231,681.0
Vaughn Beauty College,MS,3,1,,,8752.0,,PS,,60.0
Wesley Biblical Seminary,MS,2,4,,,,,PS,,27.0
William Carey University,MS,2,3,30846.0,,17052.0,43087.0,20832,0.4083,1818.0
Aquinas Institute of Theology,MO,2,4,,,,,PS,,
Avila University,MO,2,3,32863.0,,16939.0,52773.0,25000,0.4262,1192.0
Mission University,MO,2,3,29288.0,,21887.0,38641.0,26168,0.3824,342.0
House of Heavilin Beauty College-Blue Springs,MO,3,1,,,21832.0,24840.0,7917,,120.0
Cox College,MO,2,3,,,,56867.0,20000,1.0,634.0
Calvary University,MO,2,3,20044.0,,12860.0,45421.0,20839,0.5263,170.0
Cape Girardeau Career and Technology Center,MO,1,1,,20019.0,,44369.0,8750,,212.0
Central Christian College of the Bible,MO,2,3,22288.0,,13866.0,34675.0,17500,0.4091,145.0
Central Methodist University-College of Liberal Arts and Sciences,MO,2,3,43890.0,,25477.0,48991.0,17619,0.525,1015.0
University of Central Missouri,MO,1,3,22086.0,15336.0,,49560.0,21000,0.494,5653.0
Grand River Technical School,MO,1,1,,10908.0,,40665.0,PS,,39.0
Cleveland University-Kansas City,KS,2,3,39040.0,,33243.0,52304.0,12500,0.3333,79.0
Columbia College,MO,2,3,37136.0,,24051.0,45378.0,23879,0.4567,5359.0
Conception Seminary College,MO,2,3,41161.0,,33216.0,50430.0,PS,0.6429,32.0
Concordia Seminary,MO,2,4,,,,,PS,,
Cottey College,MO,2,3,36726.0,,18154.0,35422.0,19043,0.6145,266.0
Covenant Theological Seminary,MO,2,4,,,,,PS,,
Crowder College,MO,1,2,11561.0,5161.0,,35987.0,9000,,2622.0
Culver-Stockton College,MO,2,3,43028.0,,22080.0,46092.0,26000,0.5017,884.0
Drury University,MO,2,3,47091.0,,21523.0,40694.0,20979,0.6602,1367.0
East Central College,MO,1,2,18191.0,12522.0,,36916.0,9500,,1719.0
Eden Theological Seminary,MO,2,4,,,,,PS,,
Pinnacle Career Institute,MO,3,1,,,19024.0,34213.0,11605,,488.0
Evangel University,MO,2,3,38931.0,,18705.0,46573.0,24736,0.648,1205.0
Fontbonne University,MO,2,3,42982.0,,18251.0,48825.0,25000,0.5683,632.0
Four Rivers Career Center,MO,1,1,27525.0,19167.0,,48199.0,10623,,24.0
Ozarks Technical Community College,MO,1,2,12540.0,7340.0,,36455.0,10453,0.319,8194.0
Hannibal-LaGrange University,MO,2,3,39296.0,,21123.0,42643.0,18599,0.4431,381.0
Harris-Stowe State University,MO,1,3,19616.0,13459.0,,31088.0,25930,0.2741,1086.0
House of Heavilin Beauty College-Kansas City,MO,3,1,,,21470.0,17269.0,13102,,60.0
Summit Salon Academy Kansas City,MO,3,1,,,19679.0,24811.0,11938,,108.0
Jefferson College,MO,1,2,12965.0,7734.0,,40782.0,9285,,2514.0
Paul Mitchell the School-Missouri Columbia,MO,3,1,,,16681.0,27715.0,9500,,149.0
Barnes-Jewish College Goldfarb School of Nursing,MO,2,3,,,,84393.0,16750,,426.0
Kansas City Art Institute,MO,2,3,57779.0,,29555.0,37032.0,27000,0.6491,782.0
Kenrick Glennon Seminary,MO,2,4,,,,,PS,,
A T Still University of Health Sciences,MO,2,4,,,,,PS,,
Lex La-Ray Technical Center,MO,1,1,,2607.0,,52142.0,PS,,22.0
Lincoln University,MO,1,3,21265.0,12484.0,,39463.0,28875,0.221,1357.0
Lindenwood University,MO,2,3,33442.0,,18516.0,53278.0,26000,0.5032,4748.0
State Technical College of Missouri,MO,1,2,17385.0,13958.0,,55901.0,10986,,2023.0
Logan University,MO,2,3,24276.0,,18094.0,55838.0,10250,0.0,258.0
Metropolitan Community College-Kansas City,MO,1,2,14162.0,8165.0,,40796.0,10073,,10412.0
Maryville University of Saint Louis,MO,2,3,45093.0,,26047.0,62105.0,22000,0.7152,5988.0
Missouri College of Cosmetology and Esthetics,MO,3,1,,,18879.0,26738.0,7671,,88.0
Midwest Institute,MO,3,1,,,17111.0,30414.0,9500,,151.0
Midwestern Baptist Theological Seminary,MO,2,3,31765.0,,25140.0,50535.0,15675,0.7,791.0
Mineral Area College,MO,1,2,17328.0,11123.0,,35352.0,10500,,1530.0
Missouri Baptist University,MO,2,3,47370.0,,25807.0,46660.0,22500,0.4819,1452.0
Missouri Southern State University,MO,1,3,19194.0,11653.0,,42620.0,19174,0.3833,3101.0
Missouri Valley College,MO,2,3,37001.0,,17945.0,43221.0,25950,0.2448,1274.0
Missouri Western State University,MO,1,3,20282.0,12638.0,,42647.0,19968,0.398,2372.0
University of Missouri-Columbia,MO,1,3,28948.0,19889.0,,63403.0,20500,0.7618,23118.0
University of Missouri-Kansas City,MO,1,3,24645.0,12837.0,,59637.0,18750,0.5589,6618.0
Missouri University of Science and Technology,MO,1,3,25653.0,13773.0,,82957.0,23250,0.636,5467.0
University of Missouri-St Louis,MO,1,3,27442.0,12323.0,,53037.0,20000,0.5687,5108.0
Moberly Area Community College,MO,1,2,13379.0,6935.0,,37537.0,10658,,2928.0
Nazarene Theological Seminary,MO,2,4,,,,,,,
Neosho Beauty College,MO,3,1,,,8114.0,18280.0,9500,,62.0
Truman State University,MO,1,3,23420.0,12030.0,,56280.0,21000,0.6839,2666.0
Northwest Missouri State University,MO,1,3,22906.0,14824.0,,47885.0,21500,0.575,4550.0
Ozark Christian College,MO,2,3,25475.0,,17931.0,41297.0,16772,0.6792,612.0
College of the Ozarks,MO,2,3,32262.0,,7669.0,41592.0,PS,0.6131,1415.0
Park University,MO,2,3,23714.0,,15529.0,56309.0,21685,0.2996,5250.0
Stevens-The Institute of Business & Arts,MO,3,2,27565.0,,20095.0,29058.0,27000,0.8,95.0
Poplar Bluff Technical Career Center,MO,1,1,,22631.0,,37750.0,PS,,14.0
Ranken Technical College,MO,2,2,28229.0,,16952.0,55955.0,12000,0.5058,1695.0
Research College of Nursing,MO,3,3,,,,85910.0,13930,,249.0
Rockhurst University,MO,2,3,57712.0,,23165.0,67102.0,18250,0.7558,1702.0
Saint Louis University,MO,2,3,69125.0,,27075.0,70783.0,25000,0.7975,7324.0
Salem College of Hairstyling,MO,3,1,,,6256.0,18275.0,PS,,32.0
University of Health Sciences and Pharmacy in St. Louis,MO,2,3,53608.0,,33596.0,137047.0,17755,0.7547,274.0
Saint Louis Community College,MO,1,2,12053.0,6458.0,,35325.0,6725,0.1769,11174.0
Saint Paul School of Theology,KS,2,4,,,,,PS,,
Southwest Baptist University,MO,2,3,38035.0,,21082.0,43112.0,20957,0.5121,1339.0
Missouri State University-West Plains,MO,1,2,15761.0,9384.0,,36922.0,10000,,860.0
St Louis College of Health Careers-St Louis,MO,3,1,,,26422.0,32217.0,11750,,108.0
State Fair Community College,MO,1,2,13483.0,7485.0,,35562.0,10500,,2475.0
Stephens College,MO,2,3,42694.0,,23277.0,43071.0,27000,0.4651,353.0
Southeast Missouri State University,MO,1,3,23337.0,14532.0,,44030.0,21500,0.5568,6588.0
Missouri State University-Springfield,MO,1,3,24022.0,17502.0,,49827.0,21992,0.5733,13407.0
Three Rivers College,MO,1,2,17482.0,9980.0,,32442.0,10000,,1909.0
North Central Missouri College,MO,1,2,17119.0,10528.0,,40837.0,10500,,1198.0
Kansas City University,MO,2,4,,,,,PS,,
Washington University in St Louis,MO,2,3,83476.0,,22117.0,86182.0,17500,0.9445,7897.0
Webster University,MO,2,3,49218.0,,26196.0,50876.0,23000,0.6106,2180.0
Westminster College,MO,2,3,49646.0,,26111.0,52199.0,27000,0.5747,592.0
William Jewell College,MO,2,3,34291.0,,16602.0,59268.0,24498,0.6162,868.0
William Woods University,MO,2,3,44907.0,,22270.0,42401.0,21983,0.5699,1061.0
Academy of Cosmetology Inc,MT,3,1,,,15890.0,,PS,,35.0
Blackfeet Community College,MT,2,2,12168.0,,6319.0,22953.0,PS,0.0769,240.0
Butte Academy of Beauty Culture,MT,3,1,,,9031.0,,PS,,13.0
Highlands College of Montana Tech,MT,1,1,16138.0,12184.0,,54329.0,18750,,343.0
Crevier's Academy of Cosmetology Arts,MT,3,1,,,11589.0,14047.0,PS,,62.0
Carroll College,MT,2,3,54141.0,,24842.0,61772.0,25757,0.6633,1052.0
Dawson Community College,MT,1,2,15311.0,10094.0,,41951.0,9450,,226.0
Chief Dull Knife College,MT,1,2,12809.0,9594.0,,20073.0,PS,,226.0
Montana State University Billings,MT,1,3,18473.0,15044.0,,44296.0,18209,0.282,2710.0
Flathead Valley Community College,MT,1,2,14949.0,8723.0,,38520.0,10500,,1169.0
Aaniiih Nakoda College,MT,1,2,16133.0,11811.0,,30528.0,PS,0.3235,108.0
Fort Peck Community College,MT,1,2,11078.0,2449.0,,14747.0,PS,,426.0
Great Falls College Montana State University,MT,1,2,14341.0,10632.0,,38034.0,PS,,828.0
University of Providence,MT,2,3,43054.0,,20907.0,48296.0,18750,0.4674,527.0
Helena College University of Montana,MT,1,2,17493.0,14455.0,,40738.0,14580,,641.0
Little Big Horn College,MT,1,2,11402.0,8715.0,,21152.0,PS,,339.0
Miles Community College,MT,1,2,15399.0,7070.0,,42862.0,11500,,353.0
Montana Technological University,MT,1,3,21620.0,16240.0,,54329.0,18750,0.5805,1428.0
Montana State University,MT,1,3,23779.0,20593.0,,53263.0,22500,0.5735,14472.0
The University of Montana,MT,1,3,23744.0,17118.0,,44511.0,22400,0.4544,7079.0
Montana State University-Northern,MT,1,3,17363.0,14164.0,,49505.0,18500,0.4233,787.0
Rocky Mountain College,MT,2,3,44180.0,,18508.0,49036.0,26000,0.4675,790.0
Salish Kootenai College,MT,1,2,14562.0,9002.0,,32725.0,12923,0.3521,568.0
The University of Montana-Western,MT,1,3,19414.0,16669.0,,43229.0,21000,0.4945,1271.0
Bellevue University,NE,2,3,33315.0,,28345.0,61289.0,20000,0.5588,10426.0
Clarkson College,NE,2,3,23962.0,,15928.0,64876.0,23716,0.75,611.0
Bryan College of Health Sciences,NE,2,3,28837.0,,25884.0,70845.0,24985,0.7547,534.0
Central Community College,NE,1,1,13504.0,6781.0,,39429.0,7992,,3206.0
Chadron State College,NE,1,3,20672.0,13308.0,,47002.0,18875,0.3807,1634.0
College of Hair Design-Downtown,NE,3,1,,,14554.0,28376.0,12000,,72.0
Concordia University-Nebraska,NE,2,3,51179.0,,24016.0,52415.0,25750,0.6408,1270.0
Creighton University,NE,2,3,61046.0,,32380.0,73911.0,25000,0.8052,4231.0
Doane University,NE,2,3,55510.0,,28071.0,53316.0,25000,0.5585,981.0
Hastings College,NE,2,3,49051.0,,21554.0,51303.0,27000,0.5327,957.0
CHI Health School of Radiologic Technology,NE,2,3,,,,48110.0,PS,,25.0
Joseph's College Cosmetology,NE,3,1,,,10513.0,23032.0,12000,,98.0
University of Nebraska at Kearney,NE,1,3,24452.0,16488.0,,50105.0,19500,0.5975,4130.0
Nebraska Methodist College of Nursing & Allied Health,NE,2,3,30659.0,,19474.0,65071.0,23417,0.6667,752.0
Metropolitan Community College Area,NE,1,2,9684.0,4005.0,,38773.0,8217,,7629.0
Mid-Plains Community College,NE,1,2,12030.0,6602.0,,40059.0,9995,,923.0
Midland University,NE,2,3,52386.0,,24229.0,52163.0,26134,0.4321,1191.0
University of Nebraska at Omaha,NE,1,3,20446.0,12791.0,,53909.0,19000,0.475,11573.0
Nebraska Indian Community College,NE,1,2,29812.0,22070.0,,31458.0,PS,0.1667,330.0
University of Nebraska Medical Center,NE,1,3,,,,76833.0,15000,,861.0
Nebraska Wesleyan University,NE,2,3,53350.0,,23140.0,56405.0,26970,0.6889,1514.0
University of Nebraska-Lincoln,NE,1,3,25341.0,17424.0,,56887.0,21000,0.6585,18887.0
Northeast Community College,NE,1,2,13845.0,8812.0,,42634.0,11000,,2464.0
Peru State College,NE,1,3,20743.0,11401.0,,47071.0,21875,0.3772,1141.0
